PROPERTY TYPE,ADDRESS,CITY,STATE,ZIPCODE,PRICE,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YEARBUILT,DAYSONMARKET,PPSQFT,HOA,LATITUDE,LONGITUDE
Single Family Residential,6010 SW Orleans St,Seattle,WA,98116,1395000,3,2.5,Alki,2840,5750,2006,1,491,,47.57115,-122.4101686
Single Family Residential,11210 81st Ave S,Seattle,WA,98178,450000,3,1.75,Bryn Mawr,1700,6955,1956,12,265,,47.5023434,-122.2306363
Single Family Residential,9516 Densmore Ave N,Seattle,WA,98103,975000,3,2.75,Licton Springs,2220,5000,1924,14,439,,47.6983269,-122.337338
Single Family Residential,3257 25th Ave W,Seattle,WA,98199,1049000,3,2.5,Magnolia,2360,4320,1990,20,444,,47.6501654,-122.3889038
Single Family Residential,4616 47th Ave S,Seattle,WA,98118,820000,3,2.5,Seward Park,1710,3590,1988,23,480,,47.5611832,-122.2742249
Single Family Residential,2640 NW 57th St Unit B,Seattle,WA,98107,785000,2,2.25,Ballard,1460,1425,2013,26,538,,47.670417,-122.391949
Single Family Residential,614 N 65th St,Seattle,WA,98103,899000,3,1,Phinney Ridge,2040,7440,1916,27,441,,47.676319,-122.350705
Single Family Residential,3810 22nd Ave SW,Seattle,WA,98106,844000,3,2,Pigeon Point,1910,1597,2017,1,442,,47.569677,-122.360741
Single Family Residential,4218 W Dravus St,Seattle,WA,98199,1195000,3,1.75,Magnolia,2130,4350,1938,1,561,,47.6488413,-122.4116743
Single Family Residential,9829 42nd Ave SW,Seattle,WA,98136,649997,3,2.5,Arbor Heights,1750,8060,1934,1,371,,47.5147831,-122.3863005
Single Family Residential,8120 9th Ave SW,Seattle,WA,98106,549950,3,1,Highland Park,1120,7320,1922,1,491,,47.5294622,-122.3464816
Single Family Residential,6705 Flora Ave S,Seattle,WA,98108,690000,3,1,Georgetown,1350,4000,1903,1,511,,47.5420768,-122.3209303
Single Family Residential,3022 42nd Ave W,Seattle,WA,98199,1188000,3,2,Magnolia,2367,5800,1941,1,502,,47.6475091,-122.4104666
Single Family Residential,621 NW 44th St,Seattle,WA,98107,825000,3,1,Fremont,2830,3376,1911,1,292,,47.6606258,-122.3650032
Single Family Residential,627 NW 44th St,Seattle,WA,98107,700000,2,1,Fremont,1820,3376,1916,1,385,,47.6606304,-122.3651889
Single Family Residential,1910 SW 112th St,Seattle,WA,98146,425000,3,1,Shorewood,1040,8010,1955,1,409,,47.502981,-122.3596578
Single Family Residential,12218 North Park Ave N,Seattle,WA,98133,425000,2,1,Bitter Lake,700,6290,1925,1,607,,47.7183319,-122.3492277
Single Family Residential,4883 24th Ave S,Seattle,WA,98108,568000,2,1,Beacon Hill,940,4800,1920,1,604,,47.5587611,-122.3031164
Single Family Residential,7712 10th Ave NW,Seattle,WA,98117,874950,3,1.75,Whittier,2087,5000,1928,1,419,,47.6855068,-122.369026
Single Family Residential,2801 NE 140th St,Seattle,WA,98125,500000,3,2,Olympic Hills,1010,7776,1977,1,495,,47.7299005,-122.2975742
Single Family Residential,9336 Waters Ave S,Seattle,WA,98118,600000,3,1.75,Rainier Beach,1940,4324,1927,1,309,,47.5182521,-122.2597974
Single Family Residential,7959 Seward Park Ave S,Seattle,WA,98118,599000,2,1,Seward Park,2520,4840,1922,1,238,,47.5299753,-122.2666734
Single Family Residential,625 NW 83rd St,Seattle,WA,98117,849950,3,2.5,Crown Hill,1600,2880,1987,1,531,,47.6889172,-122.3645036
Single Family Residential,3745 SW 98th St,Seattle,WA,98126,565000,3,1.5,Arbor Heights,1250,5224,1996,1,452,,47.5153866,-122.3813118
Single Family Residential,3501 E Terrace St,Seattle,WA,98122,1798000,3,2.5,Leschi,3190,11300,1989,1,564,,47.6055616,-122.2881778
Single Family Residential,123 NW 41st,Seattle,WA,98107,875000,3,1.75,Fremont,2480,6909,1907,1,353,,47.6561931,-122.358249
Single Family Residential,6721 10th Ave NW,Seattle,WA,98117,1050000,3,2.75,Ballard,2060,5350,1965,1,510,,47.6784146,-122.3700299
Single Family Residential,7350 22nd NW,Seattle,WA,98117,635000,3,1.75,Loyal Heights,1510,5100,1910,1,421,,47.6828292,-122.3839975
Single Family Residential,8107 8th Ave NE,Seattle,WA,98115,764950,3,1.75,Maple Leaf,1460,3060,1908,1,524,,47.6877528,-122.3205547
Single Family Residential,4209 SW Seattle St,Seattle,WA,98116,739000,3,1.5,North Admiral,1960,2840,1929,1,377,,47.5890967,-122.3854783
Single Family Residential,1230 NE 89th St,Seattle,WA,98115,829900,3,2.5,Maple Leaf,2580,6380,1927,1,322,,47.6932705,-122.3135135
Single Family Residential,12516 Dayton Ave N,Seattle,WA,98133,449999,2,1,Broadview,1980,7650,1926,1,227,,47.7201175,-122.3525465
Single Family Residential,411 32nd Ave E,Seattle,WA,98112,955000,3,2,Madison Valley,1500,2800,1909,2,637,,47.6228653,-122.2913983
Single Family Residential,2431 55th Ave SW,Seattle,WA,98116,825000,3,2.25,Alki,1560,2265,2012,2,529,,47.5812794,-122.4029162
Single Family Residential,3120 S Norman St,Seattle,WA,98144,930000,2,1.75,Leschi,1410,6480,1946,2,660,,47.5936548,-122.2918814
Single Family Residential,13705 Greenwood Ave N,Seattle,WA,98133,625000,3,2.5,Broadview,1750,3597,2005,2,357,,47.728943,-122.355973
Single Family Residential,3810 Linden Ave N,Seattle,WA,98103,1049000,3,2.25,Fremont,1770,1714,2012,2,593,,47.6531641,-122.3483311
Single Family Residential,10419 41st Ave SW,Seattle,WA,98146,369950,1,1,Arbor Heights,690,7980,1934,2,536,,47.5094055,-122.3846171
Single Family Residential,10819 Forest Ave S,Seattle,WA,98178,675000,3,1.5,Lakeridge,1860,4940,1953,4,363,,47.5058204,-122.2353332
Single Family Residential,8656 13th Ave SW,Seattle,WA,98106,535000,3,1,Highland Park,1440,5950,1942,4,372,,47.5248449,-122.3515633
Single Family Residential,611 29th Ave E,Seattle,WA,98112,700000,3,2,Madison Valley,2130,3938,1908,4,329,,47.62447,-122.295804
Single Family Residential,10028 Ashworth Ave N,Seattle,WA,98133,949950,3,5.5,Northgate,3500,10364,1994,5,271,,47.7022083,-122.3386244
Single Family Residential,3208 49th Ave SW,Seattle,WA,98116,750000,3,2,Genesee,1680,6440,1952,5,446,,47.5753958,-122.3943818
Single Family Residential,7742 31st Ave SW,Seattle,WA,98126,540000,3,1,West Seattle,1110,5520,1942,5,486,,47.5324559,-122.372273
Single Family Residential,116 37th Ave E,Seattle,WA,98112,2650000,3,3.5,Denny Blaine,3859,5217,1947,5,687,,47.6189351,-122.2861851
Single Family Residential,4407 Cascadia Ave S,Seattle,WA,98118,694950,3,2,Columbia City,1300,4000,1952,5,535,,47.5638473,-122.2831525
Single Family Residential,2106 47th Ave SW,Seattle,WA,98116,849950,3,1.5,Admiral,2220,2808,1930,5,383,,47.5851722,-122.3914826
Single Family Residential,5514 32nd Ave S,Seattle,WA,98118,515000,3,1,Beacon Hill,930,4400,1948,5,554,,47.5520293,-122.2912605
Single Family Residential,9712 Lindsay Pl S,Seattle,WA,98118,669990,3,3,Upper Rainier Beach,1850,2709,2020,5,362,69,47.5166791,-122.2646264
Single Family Residential,1514 N 107th St,Seattle,WA,98133,600000,2,1,Northgate,1210,6330,1946,5,496,,47.7070384,-122.3385783
Single Family Residential,1824 1st Ave W,Seattle,WA,98119,1329000,3,1.75,Queen Anne,2230,4800,1911,5,596,,47.6355575,-122.3580468
Single Family Residential,7726 48th Ave S,Seattle,WA,98118,550000,3,2,Seattle,1830,5358,1958,5,301,,47.5328169,-122.2724184
Single Family Residential,8841 Ashworth Ave N,Seattle,WA,98103,670000,2,2,Green Lake,900,3844,1926,5,744,,47.6936908,-122.3394902
Single Family Residential,3109 W Elmore St,Seattle,WA,98199,985000,3,2.25,Magnolia,1920,4400,1977,5,513,,47.6574969,-122.3974335
Single Family Residential,13059 20th Ave NE,Seattle,WA,98125,560000,3,1.25,Olympic Hills,1141,9754,1971,5,491,,47.724704,-122.3076354
Single Family Residential,10050 39th Ave SW,Seattle,WA,98146,600000,3,2,Arbor Heights,1610,7320,1942,5,373,,47.512318,-122.3813845
Single Family Residential,548 N 68th St,Seattle,WA,98103,724900,2,1,Green Lake,1220,3290,1925,5,594,,47.678895,-122.3504288
Single Family Residential,640 NW 75th St,Seattle,WA,98117,640000,2,1,Whittier,1070,5150,1912,5,598,,47.6834535,-122.3650926
Single Family Residential,3548 S Morgan St,Seattle,WA,98118,725000,3,,Beacon Hill,2080,18717,1927,5,349,,47.5445774,-122.2866877
Single Family Residential,10249 41st Ave SW,Seattle,WA,98146,499000,3,1,West Seattle,1110,5320,1915,5,450,,47.5107347,-122.3847733
Single Family Residential,1204 E Lynn St,Seattle,WA,98102,1000000,3,2.5,North Capitol Hill,3400,4500,1910,5,294,,47.6397373,-122.3166767
Single Family Residential,4918 9th Ave NW,Seattle,WA,98107,600000,1,1,Ballard,810,2126,1910,5,741,,47.6649108,-122.3684343
Single Family Residential,102 NE 60th St,Seattle,WA,98115,997500,3,1.75,Green Lake,1972,2496,1925,5,506,,47.6724373,-122.3279733
Single Family Residential,2826 NE 137th St,Seattle,WA,98125,518000,2,1,Olympic Hills,1660,9380,1925,5,312,,47.728234,-122.2967031
Single Family Residential,411 W Howe St,Seattle,WA,98119,1288000,3,2,Queen Anne,2040,2400,1917,6,631,,47.6357725,-122.3628984
Single Family Residential,2115 NW 96th St,Seattle,WA,98117,1250000,2,1.75,North Beach,2056,5525,1942,6,608,6,47.6987426,-122.3837422
Single Family Residential,9748 Densmore Ave N,Seattle,WA,98103,950000,3,2.25,Licton Springs,1780,2500,2012,6,534,,47.7009514,-122.3373448
Single Family Residential,4102 42nd Ave SW,Seattle,WA,98116,860000,3,1.75,Alaska Junction,1620,4125,1940,6,531,,47.5663018,-122.3851702
Single Family Residential,8547 S 123rd Pl,Seattle,WA,98178,549999,3,2,Bryn Mawr,1430,6760,1951,6,385,,47.4923002,-122.2236078
Single Family Residential,11327 Sunnyside Ave N,Seattle,WA,98133,574950,3,1.5,Haller Lake,1250,6695,1953,6,460,,47.7116899,-122.3303234
Single Family Residential,8033 Burke Ave N,Seattle,WA,98103,729000,2,1.5,Green Lake,1660,4536,1926,6,439,,47.6879886,-122.3358514
Single Family Residential,2525 NE 136th St,Seattle,WA,98125,550000,3,2,Olympic Hills,1389,13340,1946,6,396,,47.7272691,-122.300465
Single Family Residential,2105 S Washington St,Seattle,WA,98144,638000,2,1.5,Central Area,1400,1332,2005,6,456,,47.600547,-122.304781
Single Family Residential,9708 Marine View Dr SW,Seattle,WA,98136,1250000,3,2.25,Fauntleroy,2610,19275,1941,6,479,,47.5166593,-122.3897434
Single Family Residential,14319 Wallingford Ave N,Seattle,WA,98133,540000,3,1,Haller Lake,1100,5200,1947,6,491,,47.7328963,-122.3373448
Single Family Residential,5017 50th Ave SW,Seattle,WA,98136,550000,2,1,Seaview,1220,5120,1921,6,451,,47.5569324,-122.3966448
Single Family Residential,7733 29th Ave NE,Seattle,WA,98115,1200000,3,2.5,Wedgwood,2850,7015,1959,6,421,,47.6858826,-122.296931
Single Family Residential,627 35th Ave,Seattle,WA,98122,1495000,3,2.5,Madrona,2920,3000,2000,6,512,,47.6075653,-122.288723
Single Family Residential,8613 B 23rd Ave NE,Seattle,WA,98115,879999,3,2.5,Lake City,1834,1877,2020,6,480,,47.691647,-122.3041728
Single Family Residential,7311 Jones Ave NW,Seattle,WA,98117,775000,3,1.75,Loyal Heights,1620,2550,1961,6,478,,47.6817082,-122.3867329
Single Family Residential,360 NW 46th St,Seattle,WA,98107,1000000,3,2.5,Ballard,1670,3880,1947,6,599,,47.6624438,-122.3634436
Single Family Residential,2575 10th Ave W,Seattle,WA,98119,1490000,3,2.25,Queen Anne,2400,3771,1915,7,621,,47.6427059,-122.37047
Single Family Residential,4107 19th Ave SW,Seattle,WA,98106,535000,2,1,Pigeon Point,780,5000,1916,7,686,,47.5663508,-122.3582926
Single Family Residential,8115 Fremont Ave N,Seattle,WA,98103,839950,3,2,Greenwood,2020,3675,1902,7,416,,47.6881301,-122.3502279
Single Family Residential,11264 57th Ave S,Seattle,WA,98178,449950,3,2,Skyway,940,8000,1953,8,479,,47.4983171,-122.2608061
Single Family Residential,151 Euclid Ave,Seattle,WA,98122,1675000,3,2.5,Leschi,2850,7130,1980,8,588,,47.6029578,-122.28895
Single Family Residential,5738 S Juneau Ter S,Seattle,WA,98118,525000,2,1,Hillman City,610,7500,1952,8,861,,47.5501119,-122.2855358
Single Family Residential,3127 34th Ave S,Seattle,WA,98144,835000,3,1,Mt Baker,2340,4000,1921,8,357,,47.5759188,-122.2901799
Single Family Residential,2617 28th Ave W,Seattle,WA,98199,1350000,3,2.25,Magnolia,2460,5500,1932,9,549,,47.6438077,-122.3932529
Single Family Residential,13230 Frazier Pl NW,Seattle,WA,98177,1295000,3,2.5,Broadview,2708,13452,1969,9,478,,47.7260222,-122.3670729
Single Family Residential,5628 30th Ave SW,Seattle,WA,98126,1249000,3,2.5,West Seattle,2490,8625,2011,11,502,,47.5511052,-122.3703983
Single Family Residential,10826 55th Ave S,Seattle,WA,98178,385000,2,1,Upper Rainier Beach,605,2280,1942,11,636,,47.5028766,-122.2645353
Single Family Residential,3363 W Commodore Way,Seattle,WA,98199,1997000,3,3.75,Magnolia,3740,6995,1973,11,534,,47.6651388,-122.4012119
Single Family Residential,4148 25th Ave SW Unit A,Seattle,WA,98106,605000,3,1.5,Delridge,1400,1273,2014,11,432,,47.5651223,-122.3640803
Single Family Residential,3103 16th Ave S,Seattle,WA,98144,580000,3,1,Beacon Hill,1150,3591,1921,12,504,,47.5757955,-122.3123095
Single Family Residential,4617 S Austin St,Seattle,WA,98144,350000,2,1,Seattle,700,6640,1918,12,500,,47.5344669,-122.2742705
Single Family Residential,315 W Garfield St,Seattle,WA,98119,975000,3,1,Queen Anne,1290,2400,1905,12,756,,47.6333559,-122.3617719
Single Family Residential,211 Hayes St,Seattle,WA,98109,1375000,3,2,Queen Anne,1972,4450,1911,12,697,,47.6338627,-122.3526987
Single Family Residential,8315 24th Ave NW,Seattle,WA,98117,550000,3,2,Ballard,1860,4332,1942,12,296,,47.6894596,-122.3878907
Single Family Residential,2624 NE 100th St,Seattle,WA,98125,595000,3,1,Meadowbrook,1040,7037,1951,12,572,,47.7013612,-122.298667
Single Family Residential,4609 Evanston Ave N,Seattle,WA,98103,699950,2,1.75,Fremont,820,1925,1908,12,854,,47.6624958,-122.351694
Single Family Residential,9540 3rd Ave NW,Seattle,WA,98117,599000,3,2,Greenwood,1256,5900,1907,12,477,,47.6989862,-122.3604034
Single Family Residential,519 NW 70th St,Seattle,WA,98117,675000,2,1.5,Ballard,987,650,2020,12,684,24,47.6794361,-122.3632833
Single Family Residential,10535 Evanston Ave N,Seattle,WA,98133,699950,3,1.75,Broadview,1640,4579,1916,12,427,,47.7060925,-122.3517499
Single Family Residential,14345 Evanston Ave N,Seattle,WA,98133,569000,3,1.75,Seattle,1400,9120,1949,12,406,,47.7336618,-122.3520976
Single Family Residential,10111 Beacon Ave S,Seattle,WA,98178,599950,3,2.25,Rainier Beach,2090,11730,1963,12,287,,47.5098786,-122.2720079
Single Family Residential,3944 S Eddy St,Seattle,WA,98118,539000,3,1,Seattle,1880,5000,1910,12,287,,47.5454553,-122.2814316
Single Family Residential,1527 N 130th St,Seattle,WA,98133,439000,1,1,Haller Lake,670,6000,1942,12,655,,47.723021,-122.3383347
Single Family Residential,2303 29th Ave S,Seattle,WA,98144,1179950,3,2.5,Mt Baker,2740,6000,1929,13,431,,47.5826155,-122.2954236
Single Family Residential,5620 49th Ave SW,Seattle,WA,98136,1050000,3,3,Seaview,2390,7072,2007,13,439,,47.5514653,-122.3947206
Single Family Residential,1634 Lake Washington Blvd,Seattle,WA,98122,15700000,3,4.5,Denny Blaine,7170,52613,1999,13,2190,,47.6162618,-122.2809411
Single Family Residential,3516 SW Charlestown St,Seattle,WA,98126,750000,3,1.75,Belvidere,1700,3750,1928,13,441,,47.5703008,-122.3768433
Single Family Residential,7529 32nd Ave SW,Seattle,WA,98126,1099000,3,3,West Seattle,2860,4920,2014,13,384,,47.5347249,-122.3742347
Single Family Residential,5911 39th Ave SW,Seattle,WA,98136,724990,3,1.75,Fairmount,1684,4800,1942,13,431,,47.5498569,-122.3820731
Single Family Residential,4403 40th Ave SW,Seattle,WA,98116,875000,3,3.25,Alaska Junction,2310,3075,2005,13,379,,47.5644873,-122.383193
Single Family Residential,8052 16th Ave NW,Seattle,WA,98117,675000,2,1,Loyal Heights,1055,4249,1942,13,640,,47.6883877,-122.377597
Single Family Residential,5515 28th Ave NE,Seattle,WA,98105,785000,3,2.25,Bryant,1370,4059,1916,14,573,,47.6690848,-122.2975151
Single Family Residential,9811 8th Ave NE,Seattle,WA,98115,1248000,3,3.5,Maple Leaf,2852,3291,2016,14,438,,47.700694,-122.3206743
Single Family Residential,9244 35th Ave SW Unit B,Seattle,WA,98126,439900,2,1.5,Arbor Heights,1030,1200,2019,14,427,,47.5195827,-122.3763651
Single Family Residential,4875 20th Ave S,Seattle,WA,98108,695000,3,1.75,Beacon Hill,2120,8100,1941,15,328,,47.5585059,-122.3071785
Single Family Residential,412 34th Ave,Seattle,WA,98122,2600000,3,3.25,Madrona,5050,11260,1984,15,515,,47.6055576,-122.2893234
Single Family Residential,2459 E Interlaken Blvd,Seattle,WA,98112,1650000,3,2.5,Montlake,2740,5440,1925,15,602,,47.6330121,-122.3004961
Single Family Residential,2848 NW 66th St,Seattle,WA,98117,1650000,3,3,Sunset Hill,2736,5000,2008,15,603,,47.6768648,-122.3950416
Single Family Residential,2011 S Washington St Unit B,Seattle,WA,98144,539999,2,1.5,Central Area,950,950,2003,15,568,,47.6005555,-122.3057539
Single Family Residential,4808 S Frontenac St,Seattle,WA,98118,768888,3,3,Brighton,2040,6250,1980,16,377,,47.5400127,-122.2722278
Single Family Residential,3323 Martin Luther King Jr Way S,Seattle,WA,98144,499950,2,2,Dunlap,864,533,2020,16,579,,47.5733941,-122.2971258
Single Family Residential,3325 Martin Luther King Jr Way S,Seattle,WA,98144,499950,2,2,Dunlap,864,533,2020,16,579,,47.5733234,-122.2971422
Single Family Residential,413 32nd Ave,Seattle,WA,98122,1195950,3,1.75,Leschi,2980,5000,1909,16,401,,47.6055959,-122.2918537
Single Family Residential,10554 Interlake Ave N,Seattle,WA,98133,699900,3,2.5,Northgate,1830,5060,1927,18,382,,47.7066568,-122.3403953
Single Family Residential,3217 S Orcas St,Seattle,WA,98118,625000,2,1,Beacon Hill,2100,5100,1916,18,298,,47.5508591,-122.2907004
Single Family Residential,8421 Grattan Pl S,Seattle,WA,98118,685000,3,2.25,Seward Park,2500,4656,2020,18,274,,47.5268814,-122.2673985
Single Family Residential,9736 46th Ave NE,Seattle,WA,98115,499950,1,1,Matthews Beach,790,7200,1947,19,633,,47.7004894,-122.278573
Single Family Residential,3111 E Ward St,Seattle,WA,98112,1095000,3,2.25,Madison Valley,2320,5103,1915,19,472,,47.6272568,-122.2917477
Single Family Residential,2658 9th Ave W,Seattle,WA,98119,925000,3,1.75,Queen Anne,1530,2100,1914,19,605,,47.6439209,-122.3686151
Single Family Residential,11055 17th Ave NE,Seattle,WA,98125,599000,2,1,Victory Heights,1160,6290,1938,19,516,,47.7102248,-122.3101595
Single Family Residential,116 17th Ave Unit B,Seattle,WA,98122,599999,2,1,Judkins,997,15331,1982,19,602,300,47.6023869,-122.3099325
Single Family Residential,11812 8th Ave NW,Seattle,WA,98177,1550000,3,2.5,Broadview,3640,11892,2008,19,426,,47.7149801,-122.365209
Single Family Residential,5034 32nd Ave S,Seattle,WA,98118,624950,2,1,Columbia City,970,5500,1956,19,644,,47.555988,-122.2911791
Single Family Residential,910 E Fir St,Seattle,WA,98122,1100000,3,1.5,Central Area,1630,2400,1900,20,675,,47.6028603,-122.3201494
Single Family Residential,820 26th Ave,Seattle,WA,98122,714900,2,1,Seattle,1840,6000,1940,20,389,,47.609752,-122.298555
Single Family Residential,2529 S Juneau St,Seattle,WA,98108,1250000,3,1.5,Beacon Hill,1780,20601,1918,21,702,,47.5496601,-122.2988892
Single Family Residential,10710 NE Victory Ln,Seattle,WA,98125,660000,3,2,Victory Heights,1300,14200,1938,21,508,,47.706598,-122.3030282
